[ 2025-04-11 20:26:17,698 ] 18 root - INFO - Initiate the data ingestion
[ 2025-04-11 20:26:24,420 ] 60 root - INFO - Performed train test split on DataFrame
[ 2025-04-11 20:26:24,420 ] 61 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-11 20:26:24,420 ] 67 root - INFO - Exporting train and test file path,
[ 2025-04-11 20:26:24,579 ] 76 root - INFO - Exporting train and test file path,
[ 2025-04-11 20:26:24,580 ] 20 root - INFO - Data Initiation Completed
[ 2025-04-11 20:26:24,592 ] 25 root - INFO - Initiate the data Validation
[ 2025-04-11 20:26:24,701 ] 32 root - INFO - Required no of columns:31
[ 2025-04-11 20:26:24,703 ] 33 root - INFO - Data frame columns:31
[ 2025-04-11 20:26:24,703 ] 32 root - INFO - Required no of columns:31
[ 2025-04-11 20:26:24,703 ] 33 root - INFO - Data frame columns:31
[ 2025-04-11 20:26:24,707 ] 48 root - INFO - Required no of numerical columns:31
[ 2025-04-11 20:26:24,707 ] 49 root - INFO - Data frame numerical columns:31
[ 2025-04-11 20:26:24,710 ] 48 root - INFO - Required no of numerical columns:31
[ 2025-04-11 20:26:24,710 ] 49 root - INFO - Data frame numerical columns:31
[ 2025-04-11 20:26:25,354 ] 27 root - INFO - data Validation Completed
[ 2025-04-11 20:26:25,355 ] 32 root - INFO - Initiate the data Tranformation
[ 2025-04-11 20:26:25,355 ] 41 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-11 20:26:25,355 ] 43 root - INFO - Starting data transformation
[ 2025-04-11 20:26:25,472 ] 31 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-04-11 20:26:25,473 ] 34 root - INFO - initialize KNNImputer with {DATA_TRANSFORMATION_IMPUTER_PARAMS}
[ 2025-04-11 20:26:25,525 ] 38 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-11 20:26:25,534 ] 43 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-11 20:26:25,538 ] 34 root - INFO - data Transformation Completed
